id;name;jhi_limit;franchise;price;mandatory
8983b8a8-108c-4e92-9bbd-ca82c14203b2;towards;7836.48;17499.01;19192.96;true
47f2f4a7-883c-47a3-8329-11d5c3041a7e;CD;14275.35;22765.42;10122.84;false
fd533a54-6644-48c8-b15f-ab07f60b939b;greedily bah oily;6385.36;4647.33;9214.52;false
71af21b4-0a83-471e-8512-d4dee731d4ac;inside per oof;17393.7;11452;14201.72;true
482cdbc2-9710-4e38-aa98-f85b68c716d8;hydrolyze iridescence tenderly;3845.75;20323.14;1184;false
bcba4dc9-e320-4b03-96ee-8d26a4f1882d;qua;23620.33;21510.33;18590.53;false
0da1e94d-d7d0-45f5-a913-d52e676fdfa9;vaguely lest since;24879.45;22670.79;27538.33;true
a6d05e0a-999c-4c4c-8734-3092ab3b4971;after;32102.7;27374.83;10325.35;false
5bdbd3ab-81df-4263-b332-a12b75dc4a41;which;2165.02;8865.46;29720.29;false
a7dcc076-c693-4f94-8a13-535699fd3ba9;ugh;17206.06;16810.76;9163.73;false
