id;date;estimated_amount
c2dbd4dc-9d07-42be-b56a-fe03008a1ac1;1976-06-01;26366.78
893929fe-88db-4c43-bffb-60af1750b508;1976-06-01;19477.82
88e4c49d-9bdf-47d3-a275-090767952bb1;1976-06-01;8164.89
4e6f6a0c-1e1e-46c3-a3a2-4bbae39cb205;1976-06-01;21182.75
1ef0b981-4249-4b1b-8c31-89a55e3a6872;1976-06-01;9007.26
3db0aab6-7b68-4ca7-b273-d3e65601decc;1976-05-31;1884.35
83b3db2d-89d8-493b-bcf0-ec4bbc53dab0;1976-06-01;12263.49
210839e0-6bed-4488-923c-75da0e401e75;1976-06-01;31933.78
ed79736e-01d2-4757-9f14-9d2b714061e6;1976-06-01;18870.64
00a507eb-f4a8-42cd-ae88-859e57c9718d;1976-06-01;30326.25
