id;name;desciption;price
2e0da5b4-edd0-4341-add1-a2c94e2c8d29;PREMIUM;sniveling spectacles;3752.04
226d14b9-d79f-45ff-8771-1b2aa0e598d6;BASIC;across;26678.91
7db4235c-dda8-4d01-b113-9415aa233dd6;COMFORT;than;631.63
b2f9aae5-6639-47c4-91d6-b43e10fc1d7b;BASIC;unwilling hope;10708.45
939bd464-1e41-473f-8c7c-afc0bc476643;PREMIUM;ew impanel;9123.95
46a1cd35-13a0-4034-813d-c63cd2734344;PREMIUM;for grave;13234.54
80f5e018-0912-47de-82bc-82dc6863af8d;BASIC;intently specific carelessly;28261.58
5e8850b3-4b65-40f3-8ff3-1a478035fcfe;COMFORT;elastic yippee;5215.57
ef7b83cc-a07d-4d42-9b10-bf121fbcc5cf;PREMIUM;whenever vivaciously astride;10320.42
89e81d04-6263-4504-b72a-502812456c36;BASIC;woot tut;29420.22
